time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,2.xpos,2.ypos,2.xvel,2.yvel,2.mass,time_limit,
500.000000,4.120854,0.001787,0.016483,0.000011,5999999999999999899336704.000000,384399661.299704,499999.853148,-1.354801,999.999119,72999999999999997902848.000000,11468449.316967,1345287.473871,7926.843275,2608.362291,20000.000000,1000000000.000000,
510.000000,4.287336,0.001896,0.016813,0.000011,5999999999999999899336704.000000,384399647.616214,509999.844159,-1.381897,999.999083,72999999999999997902848.000000,11547569.341325,1371353.615776,7897.231965,2604.867222,20000.000000,1000000000.000000,
520.000000,4.457115,0.002010,0.017143,0.000012,5999999999999999899336704.000000,384399633.661764,519999.834811,-1.408993,999.999047,72999999999999997902848.000000,11626395.346497,1397384.841923,7868.037739,2601.379235,20000.000000,1000000000.000000,
530.000000,4.630191,0.002128,0.017472,0.000012,5999999999999999899336704.000000,384399619.436354,529999.825096,-1.436089,999.999010,72999999999999997902848.000000,11704931.452954,1423381.225922,7839.250581,2597.898882,20000.000000,1000000000.000000,
540.000000,4.806564,0.002251,0.017802,0.000013,5999999999999999899336704.000000,384399604.939983,539999.815008,-1.463185,999.998972,72999999999999997902848.000000,11783181.682686,1449342.846739,7810.860808,2594.426681,20000.000000,1000000000.000000,
550.000000,4.986233,0.002378,0.018132,0.000013,5999999999999999899336704.000000,384399590.172653,549999.804539,-1.490281,999.998934,72999999999999997902848.000000,11861149.962499,1475269.788315,7782.859064,2590.963111,20000.000000,1000000000.000000,
560.000000,5.169199,0.002510,0.018461,0.000013,5999999999999999899336704.000000,384399575.134363,559999.793683,-1.517377,999.998895,72999999999999997902848.000000,11938840.127185,1501162.139222,7755.236300,2587.508619,20000.000000,1000000000.000000,
570.000000,5.355461,0.002647,0.018791,0.000014,5999999999999999899336704.000000,384399559.825112,569999.782432,-1.544473,999.998855,72999999999999997902848.000000,12016255.922542,1527019.992334,7727.983763,2584.063618,20000.000000,1000000000.000000,
580.000000,5.545020,0.002789,0.019121,0.000014,5999999999999999899336704.000000,384399544.244902,579999.770779,-1.571569,999.998814,72999999999999997902848.000000,12093401.008277,1552843.444517,7701.092987,2580.628495,20000.000000,1000000000.000000,
590.000000,5.737876,0.002936,0.019450,0.000015,5999999999999999899336704.000000,384399528.393732,589999.758717,-1.598665,999.998773,72999999999999997902848.000000,12170278.960781,1578632.596346,7674.555773,2577.203605,20000.000000,1000000000.000000,
600.000000,5.934029,0.003087,0.019780,0.000015,5999999999999999899336704.000000,384399512.271601,599999.746239,-1.625761,999.998731,72999999999999997902848.000000,12246893.275799,1604387.551826,7648.364188,2573.789278,20000.000000,1000000000.000000,
610.000000,6.133478,0.003244,0.020110,0.000016,5999999999999999899336704.000000,384399495.878511,609999.733338,-1.652857,999.998689,72999999999999997902848.000000,12323247.370975,1630108.418145,7622.510544,2570.385821,20000.000000,1000000000.000000,
620.000000,6.336224,0.003407,0.020439,0.000016,5999999999999999899336704.000000,384399479.214461,619999.720008,-1.679953,999.998645,72999999999999997902848.000000,12399344.588311,1655795.305429,7596.987398,2566.993517,20000.000000,1000000000.000000,
630.000000,6.542267,0.003574,0.020769,0.000017,5999999999999999899336704.000000,384399462.279450,629999.706240,-1.707049,999.998601,72999999999999997902848.000000,12475188.196513,1681448.326520,7571.787534,2563.612625,20000.000000,1000000000.000000,
640.000000,6.751606,0.003747,0.021099,0.000018,5999999999999999899336704.000000,384399445.073480,639999.692028,-1.734145,999.998556,72999999999999997902848.000000,12550781.393255,1707067.596766,7546.903958,2560.243386,20000.000000,1000000000.000000,
650.000000,6.964242,0.003925,0.021428,0.000018,5999999999999999899336704.000000,384399427.596550,649999.677365,-1.761241,999.998511,72999999999999997902848.000000,12626127.307340,1732653.233817,7522.329890,2556.886021,20000.000000,1000000000.000000,
660.000000,7.180175,0.004109,0.021758,0.000019,5999999999999999899336704.000000,384399409.848660,659999.662244,-1.788337,999.998465,72999999999999997902848.000000,12701229.000793,1758205.357446,7498.058752,2553.540734,20000.000000,1000000000.000000,
670.000000,7.399404,0.004299,0.022088,0.000019,5999999999999999899336704.000000,384399391.829810,669999.646658,-1.815433,999.998418,72999999999999997902848.000000,12776089.470857,1783724.089367,7474.084165,2550.207709,20000.000000,1000000000.000000,
