time,0.xpos,0.ypos,0.xvel,0.yvel,0.mass,1.xpos,1.ypos,1.xvel,1.yvel,1.mass,time_limit,
0.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,20000000.000000,0.000000,0.000000,2000.000000,73477000000000000786432.000000,5000000.000000,
10.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19999950.202709,19999.983401,-9.959464,1999.995020,73477000000000000786432.000000,5000000.000000,
20.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19999800.810488,39999.867206,-19.918997,1999.980081,73477000000000000786432.000000,5000000.000000,
30.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19999551.822298,59999.551818,-29.878669,1999.955181,73477000000000000786432.000000,5000000.000000,
40.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19999203.236407,79998.937632,-39.838549,1999.920321,73477000000000000786432.000000,5000000.000000,
50.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19998755.050387,99997.925034,-49.798707,1999.875499,73477000000000000786432.000000,5000000.000000,
60.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19998207.261120,119996.414398,-59.759210,1999.820713,73477000000000000786432.000000,5000000.000000,
70.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19997559.864792,139994.306083,-69.720130,1999.755963,73477000000000000786432.000000,5000000.000000,
80.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19996812.856897,159991.500428,-79.681535,1999.681245,73477000000000000786432.000000,5000000.000000,
90.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19995966.232236,179987.897754,-89.643495,1999.596558,73477000000000000786432.000000,5000000.000000,
100.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19995019.984912,199983.398353,-99.606079,1999.501899,73477000000000000786432.000000,5000000.000000,
110.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19993974.108339,219977.902492,-109.569357,1999.397266,73477000000000000786432.000000,5000000.000000,
120.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19992828.595233,239971.310406,-119.533397,1999.282654,73477000000000000786432.000000,5000000.000000,
130.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19991583.437617,259963.522299,-129.498270,1999.158061,73477000000000000786432.000000,5000000.000000,
140.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19990238.626818,279954.438334,-139.464046,1999.023482,73477000000000000786432.000000,5000000.000000,
150.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19988794.153468,299943.958636,-149.430792,1998.878913,73477000000000000786432.000000,5000000.000000,
160.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19987250.007503,319931.983287,-159.398580,1998.724351,73477000000000000786432.000000,5000000.000000,
170.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19985606.178165,339918.412323,-169.367479,1998.559789,73477000000000000786432.000000,5000000.000000,
180.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19983862.653996,359903.145730,-179.337558,1998.385224,73477000000000000786432.000000,5000000.000000,
190.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19982019.422844,379886.083441,-189.308887,1998.200649,73477000000000000786432.000000,5000000.000000,
200.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19980076.471858,399867.125336,-199.281536,1998.006060,73477000000000000786432.000000,5000000.000000,
210.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19978033.787490,419846.171233,-209.255575,1997.801449,73477000000000000786432.000000,5000000.000000,
220.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19975891.355493,439823.120890,-219.231073,1997.586811,73477000000000000786432.000000,5000000.000000,
230.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19973649.160923,459797.874001,-229.208101,1997.362139,73477000000000000786432.000000,5000000.000000,
240.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19971307.188133,479770.330191,-239.186729,1997.127425,73477000000000000786432.000000,5000000.000000,
250.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19968865.420780,499740.389013,-249.167026,1996.882664,73477000000000000786432.000000,5000000.000000,
260.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19966323.841816,519707.949946,-259.149063,1996.627846,73477000000000000786432.000000,5000000.000000,
270.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19963682.433496,539672.912394,-269.132909,1996.362965,73477000000000000786432.000000,5000000.000000,
280.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19960941.177370,559635.175677,-279.118635,1996.088012,73477000000000000786432.000000,5000000.000000,
290.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19958100.054286,579594.639033,-289.106312,1995.802978,73477000000000000786432.000000,5000000.000000,
300.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19955159.044390,599551.201613,-299.096010,1995.507855,73477000000000000786432.000000,5000000.000000,
310.000000,0.000000,0.000000,0.000000,0.000000,5970000000000000281018368.000000,19952118.127122,619504.762479,-309.087798,1995.202634,73477000000000000786432.000000,5000000.000000,
