time,0.xpos,0.ypos,0.zpos,0.xvel,0.yvel,0.zvel,0.mass,1.xpos,1.ypos,1.zpos,1.xvel,1.yvel,1.zvel,1.mass,time_limit,
39600.000000,1083.995931,3294.112038,-25321.311625,0.081703,0.165564,-1.273791,5970000000000000281018368.000000,49411925.422806,49732353.677079,-384000000.000000,1243.361671,-13.452023,0.000000,73477000000000000786432.000000,5000000000.000000,
40800.000000,1185.000469,3495.738754,-26872.644709,0.086662,0.170480,-1.311755,5970000000000000281018368.000000,50903718.812683,49715971.523604,-384000000.000000,1242.958746,-13.851448,0.000000,73477000000000000786432.000000,5000000000.000000,
42000.000000,1292.039967,3703.259379,-28469.501670,0.091761,0.175387,-1.349664,5970000000000000281018368.000000,52395021.862605,49699110.490441,-384000000.000000,1242.544447,-14.250153,0.000000,73477000000000000786432.000000,5000000000.000000,
43200.000000,1405.281998,3916.663145,-30111.814740,0.096999,0.180285,-1.387515,5970000000000000281018368.000000,53885820.957234,49681771.452662,-384000000.000000,1242.118829,-14.648119,0.000000,73477000000000000786432.000000,5000000000.000000,
44400.000000,1524.893304,4135.939002,-31799.514392,0.102376,0.185173,-1.425308,5970000000000000281018368.000000,55376102.548766,49663955.307932,-384000000.000000,1241.681951,-15.045328,0.000000,73477000000000000786432.000000,5000000000.000000,
45600.000000,1651.039778,4361.075627,-33532.529356,0.107891,0.190053,-1.463040,5970000000000000281018368.000000,56865853.158513,49645662.976277,-384000000.000000,1241.233870,-15.441761,0.000000,73477000000000000786432.000000,5000000000.000000,
46800.000000,1783.886441,4592.061425,-35310.786640,0.113543,0.194922,-1.500711,5970000000000000281018368.000000,58355059.378441,49626895.399861,-384000000.000000,1240.774645,-15.837399,0.000000,73477000000000000786432.000000,5000000000.000000,
48000.000000,1923.597427,4828.884529,-37134.211542,0.119331,0.199781,-1.538319,5970000000000000281018368.000000,59843707.872689,49607653.542748,-384000000.000000,1240.304337,-16.232226,0.000000,73477000000000000786432.000000,5000000000.000000,
49200.000000,2070.335964,5071.532809,-39002.727676,0.125255,0.204631,-1.575863,5970000000000000281018368.000000,61331785.379058,49587938.390669,-384000000.000000,1239.823009,-16.626221,0.000000,73477000000000000786432.000000,5000000000.000000,
50400.000000,2224.264354,5319.993868,-40916.256978,0.131314,0.209469,-1.613341,5970000000000000281018368.000000,62819278.710473,49567750.950774,-384000000.000000,1239.330723,-17.019369,0.000000,73477000000000000786432.000000,5000000000.000000,
51600.000000,2385.543957,5574.255049,-42874.719738,0.137507,0.214297,-1.650752,5970000000000000281018368.000000,64306174.756404,49547092.251392,-384000000.000000,1238.827544,-17.411651,0.000000,73477000000000000786432.000000,5000000000.000000,
52800.000000,2554.335175,5834.303440,-44878.034607,0.143834,0.219115,-1.688095,5970000000000000281018368.000000,65792460.484278,49525963.341776,-384000000.000000,1238.313537,-17.803050,0.000000,73477000000000000786432.000000,5000000000.000000,
54000.000000,2730.797433,6100.125871,-46926.118622,0.150292,0.223921,-1.725367,5970000000000000281018368.000000,67278122.940839,49504365.291852,-384000000.000000,1237.788769,-18.193549,0.000000,73477000000000000786432.000000,5000000000.000000,
55200.000000,2915.089163,6371.708923,-49018.887226,0.156883,0.228716,-1.762569,5970000000000000281018368.000000,68763149.253491,49482299.191962,-384000000.000000,1237.253309,-18.583130,0.000000,73477000000000000786432.000000,5000000000.000000,
56400.000000,3107.367787,6649.038929,-51156.254281,0.163604,0.233499,-1.799698,5970000000000000281018368.000000,70247526.631609,49459766.152603,-384000000.000000,1236.707223,-18.971778,0.000000,73477000000000000786432.000000,5000000000.000000,
57600.000000,3307.789705,6932.101975,-53338.132096,0.170455,0.238271,-1.836753,5970000000000000281018368.000000,71731242.367811,49436767.304162,-384000000.000000,1236.150584,-19.359476,0.000000,73477000000000000786432.000000,5000000000.000000,
58800.000000,3516.510276,7220.883908,-55564.431440,0.177435,0.243030,-1.873733,5970000000000000281018368.000000,73214283.839210,49413303.796649,-384000000.000000,1235.583461,-19.746207,0.000000,73477000000000000786432.000000,5000000000.000000,
60000.000000,3733.683803,7515.370336,-57835.061568,0.184543,0.247778,-1.910637,5970000000000000281018368.000000,74696638.508623,49389376.799428,-384000000.000000,1235.005926,-20.131956,0.000000,73477000000000000786432.000000,5000000000.000000,
61200.000000,3959.463520,7815.546632,-60149.930235,0.191778,0.252514,-1.947464,5970000000000000281018368.000000,76178293.925760,49364987.500943,-384000000.000000,1234.418052,-20.516707,0.000000,73477000000000000786432.000000,5000000000.000000,
62400.000000,4194.001580,8121.397937,-62508.943723,0.199140,0.257236,-1.984212,5970000000000000281018368.000000,77659237.728370,49340137.108443,-384000000.000000,1233.819914,-20.900444,0.000000,73477000000000000786432.000000,5000000000.000000,
63600.000000,4437.449035,8432.909164,-64912.006857,0.206627,0.261947,-2.020880,5970000000000000281018368.000000,79139457.643359,49314826.847702,-384000000.000000,1233.211586,-21.283151,0.000000,73477000000000000786432.000000,5000000000.000000,
64800.000000,4689.955828,8750.065004,-67359.023028,0.214238,0.266644,-2.057467,5970000000000000281018368.000000,80618941.487883,49289057.962739,-384000000.000000,1232.593143,-21.664815,0.000000,73477000000000000786432.000000,5000000000.000000,
66000.000000,4951.670779,9072.849923,-69849.894214,0.221974,0.271329,-2.093971,5970000000000000281018368.000000,82097677.170396,49262831.715535,-384000000.000000,1231.964662,-22.045419,0.000000,73477000000000000786432.000000,5000000000.000000,
67200.000000,5222.741570,9401.248171,-72384.521001,0.229831,0.276000,-2.130393,5970000000000000281018368.000000,83575652.691674,49236149.385750,-384000000.000000,1231.326220,-22.424950,0.000000,73477000000000000786432.000000,5000000000.000000,
68400.000000,5503.314736,9735.243787,-74962.802606,0.237811,0.280657,-2.166729,5970000000000000281018368.000000,85052856.145801,49209012.270428,-384000000.000000,1230.677896,-22.803393,0.000000,73477000000000000786432.000000,5000000000.000000,
69600.000000,5793.535651,10074.820594,-77584.636895,0.245911,0.285302,-2.202980,5970000000000000281018368.000000,86529275.721133,49181421.683718,-384000000.000000,1230.019769,-23.180733,0.000000,73477000000000000786432.000000,5000000000.000000,
70800.000000,6093.548518,10419.962212,-80249.920409,0.254131,0.289932,-2.239144,5970000000000000281018368.000000,88004899.701212,49153378.956574,-384000000.000000,1229.351917,-23.556958,0.000000,73477000000000000786432.000000,5000000000.000000,
72000.000000,6403.496357,10770.652058,-82958.548383,0.262469,0.294549,-2.275221,5970000000000000281018368.000000,89479716.465664,49124885.436467,-384000000.000000,1228.674423,-23.932053,0.000000,73477000000000000786432.000000,5000000000.000000,
73200.000000,6723.520995,11126.873346,-85710.414769,0.270925,0.299151,-2.311208,5970000000000000281018368.000000,90953714.491055,49095942.487092,-384000000.000000,1227.987366,-24.306005,0.000000,73477000000000000786432.000000,5000000000.000000,
74400.000000,7053.763056,11488.609097,-88505.412257,0.279498,0.303739,-2.347106,5970000000000000281018368.000000,92426882.351716,49066551.488067,-384000000.000000,1227.290829,-24.678800,0.000000,73477000000000000786432.000000,5000000000.000000,
75600.000000,7394.361950,11855.842139,-91343.432300,0.288186,0.308313,-2.382912,5970000000000000281018368.000000,93899208.720537,49036713.834643,-384000000.000000,1226.584893,-25.050426,0.000000,73477000000000000786432.000000,5000000000.000000,
76800.000000,7745.455866,12228.555111,-94224.365135,0.296989,0.312873,-2.418627,5970000000000000281018368.000000,95370682.369728,49006430.937401,-384000000.000000,1225.869643,-25.420871,0.000000,73477000000000000786432.000000,5000000000.000000,
78000.000000,8107.181761,12606.730466,-97148.099801,0.305906,0.317417,-2.454249,5970000000000000281018368.000000,96841292.171545,48975704.221955,-384000000.000000,1225.145162,-25.790121,0.000000,73477000000000000786432.000000,5000000000.000000,
79200.000000,8479.675351,12990.350478,-100114.524169,0.314935,0.321947,-2.489776,5970000000000000281018368.000000,98311027.098987,48944535.128655,-384000000.000000,1224.411533,-26.158165,0.000000,73477000000000000786432.000000,5000000000.000000,
80400.000000,8863.071107,13379.397240,-103123.524960,0.324076,0.326462,-2.525209,5970000000000000281018368.000000,99779876.226460,48912925.112284,-384000000.000000,1223.668843,-26.524991,0.000000,73477000000000000786432.000000,5000000000.000000,
81600.000000,9257.502241,13773.852675,-106174.987768,0.333327,0.330961,-2.560546,5970000000000000281018368.000000,101247828.730407,48880875.641756,-384000000.000000,1222.917175,-26.890587,0.000000,73477000000000000786432.000000,5000000000.000000,
82800.000000,9663.100702,14173.698533,-109268.797081,0.342688,0.335446,-2.595786,5970000000000000281018368.000000,102714873.889907,48848388.199821,-384000000.000000,1222.156616,-27.254942,0.000000,73477000000000000786432.000000,5000000000.000000,
84000.000000,10079.997171,14578.916398,-112404.836309,0.352157,0.339915,-2.630929,5970000000000000281018368.000000,104181001.087242,48815464.282755,-384000000.000000,1221.387252,-27.618044,0.000000,73477000000000000786432.000000,5000000000.000000,
85200.000000,10508.321051,14989.487692,-115582.987799,0.361734,0.344368,-2.665973,5970000000000000281018368.000000,105646199.808436,48782105.400068,-384000000.000000,1220.609170,-27.979883,0.000000,73477000000000000786432.000000,5000000000.000000,
86400.000000,10948.200462,15405.393676,-118803.132865,0.371416,0.348806,-2.700918,5970000000000000281018368.000000,107110459.643754,48748313.074194,-384000000.000000,1219.822457,-28.340447,0.000000,73477000000000000786432.000000,5000000000.000000,
87600.000000,11399.762234,15826.615459,-122065.151806,0.381204,0.353228,-2.735763,5970000000000000281018368.000000,108573770.288180,48714088.840194,-384000000.000000,1219.027200,-28.699728,0.000000,73477000000000000786432.000000,5000000000.000000,
88800.000000,11863.131904,16253.133994,-125368.923930,0.391096,0.357634,-2.770507,5970000000000000281018368.000000,110036121.541856,48679434.245456,-384000000.000000,1218.223487,-29.057714,0.000000,73477000000000000786432.000000,5000000000.000000,
90000.000000,12338.433711,16684.930090,-128714.327576,0.401091,0.362024,-2.805149,5970000000000000281018368.000000,111497503.310495,48644350.849390,-384000000.000000,1217.411407,-29.414395,0.000000,73477000000000000786432.000000,5000000000.000000,
91200.000000,12825.790587,17121.984410,-132101.240138,0.411188,0.366397,-2.839688,5970000000000000281018368.000000,112957905.605760,48608840.223130,-384000000.000000,1216.591046,-29.769762,0.000000,73477000000000000786432.000000,5000000000.000000,
92400.000000,13325.324158,17564.277474,-135529.538086,0.421385,0.370755,-2.874124,5970000000000000281018368.000000,114417318.545617,48572903.949232,-384000000.000000,1215.762496,-30.123806,0.000000,73477000000000000786432.000000,5000000000.000000,
93600.000000,13837.154737,18011.789670,-138999.096989,0.431682,0.375096,-2.908456,5970000000000000281018368.000000,115875732.354654,48536543.621381,-384000000.000000,1214.925843,-30.476517,0.000000,73477000000000000786432.000000,5000000000.000000,
94800.000000,14361.401320,18464.501249,-142509.791538,0.442078,0.379421,-2.942684,5970000000000000281018368.000000,117333137.364372,48499760.844082,-384000000.000000,1214.081178,-30.827887,0.000000,73477000000000000786432.000000,5000000000.000000,
