time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
49.000000,342078.657264,9919699.279487,6943.368131,-3285.431971,100000000000000004764729344.000000,1000000.000000,-642799999.999988,
50.000000,349020.849929,9916379.993859,6941.008934,-3353.146000,100000000000000004764729344.000000,1000000.000000,-642799999.999987,
51.000000,355960.658582,9912992.973912,6938.600087,-3420.900752,100000000000000004764729344.000000,1000000.000000,-642799999.999987,
52.000000,362898.033513,9909538.178495,6936.141468,-3488.697087,100000000000000004764729344.000000,1000000.000000,-642799999.999986,
53.000000,369832.924885,9906015.565590,6933.632951,-3556.535869,100000000000000004764729344.000000,1000000.000000,-642799999.999985,
54.000000,376765.282739,9902425.092319,6931.074409,-3624.417965,100000000000000004764729344.000000,1000000.000000,-642799999.999985,
55.000000,383695.056984,9898766.714933,6928.465711,-3692.344243,100000000000000004764729344.000000,1000000.000000,-642799999.999984,
56.000000,390622.197398,9895040.388815,6925.806725,-3760.315577,100000000000000004764729344.000000,1000000.000000,-642799999.999983,
57.000000,397546.653626,9891246.068470,6923.097314,-3828.332841,100000000000000004764729344.000000,1000000.000000,-642799999.999983,
58.000000,404468.375172,9887383.707530,6920.337341,-3896.396914,100000000000000004764729344.000000,1000000.000000,-642799999.999982,
59.000000,411387.311405,9883453.258745,6917.526662,-3964.508678,100000000000000004764729344.000000,1000000.000000,-642799999.999982,
60.000000,418303.411548,9879454.673981,6914.665136,-4032.669018,100000000000000004764729344.000000,1000000.000000,-642799999.999981,
61.000000,425216.624678,9875387.904220,6911.752613,-4100.878823,100000000000000004764729344.000000,1000000.000000,-642799999.999980,
62.000000,432126.899724,9871252.899551,6908.788944,-4169.138983,100000000000000004764729344.000000,1000000.000000,-642799999.999979,
63.000000,439034.185466,9867049.609170,6905.773977,-4237.450395,100000000000000004764729344.000000,1000000.000000,-642799999.999979,
64.000000,445938.430526,9862777.981378,6902.707555,-4305.813957,100000000000000004764729344.000000,1000000.000000,-642799999.999978,
65.000000,452839.583371,9858437.963572,6899.589519,-4374.230572,100000000000000004764729344.000000,1000000.000000,-642799999.999977,
66.000000,459737.592307,9854029.502248,6896.419709,-4442.701145,100000000000000004764729344.000000,1000000.000000,-642799999.999976,
67.000000,466632.405476,9849552.542992,6893.197959,-4511.226587,100000000000000004764729344.000000,1000000.000000,-642799999.999976,
68.000000,473523.970855,9845007.030480,6889.924102,-4579.807811,100000000000000004764729344.000000,1000000.000000,-642799999.999975,
69.000000,480412.236253,9840392.908469,6886.597966,-4648.445736,100000000000000004764729344.000000,1000000.000000,-642799999.999974,
70.000000,487297.149304,9835710.119801,6883.219379,-4717.141282,100000000000000004764729344.000000,1000000.000000,-642799999.999973,
71.000000,494178.657468,9830958.606391,6879.788163,-4785.895375,100000000000000004764729344.000000,1000000.000000,-642799999.999972,
72.000000,501056.708026,9826138.309226,6876.304138,-4854.708944,100000000000000004764729344.000000,1000000.000000,-642799999.999972,
73.000000,507931.248080,9821249.168365,6872.767122,-4923.582925,100000000000000004764729344.000000,1000000.000000,-642799999.999971,
74.000000,514802.224544,9816291.122926,6869.176928,-4992.518255,100000000000000004764729344.000000,1000000.000000,-642799999.999970,
75.000000,521669.584146,9811264.111091,6865.533366,-5061.515876,100000000000000004764729344.000000,1000000.000000,-642799999.999969,
76.000000,528533.273423,9806168.070095,6861.836245,-5130.576736,100000000000000004764729344.000000,1000000.000000,-642799999.999968,
77.000000,535393.238717,9801002.936224,6858.085367,-5199.701785,100000000000000004764729344.000000,1000000.000000,-642799999.999967,
78.000000,542249.426172,9795768.644809,6854.280535,-5268.891981,100000000000000004764729344.000000,1000000.000000,-642799999.999966,
79.000000,549101.781734,9790465.130226,6850.421545,-5338.148283,100000000000000004764729344.000000,1000000.000000,-642799999.999965,
80.000000,555950.251142,9785092.325886,6846.508193,-5407.471657,100000000000000004764729344.000000,1000000.000000,-642799999.999964,
81.000000,562794.779929,9779650.164231,6842.540268,-5476.863074,100000000000000004764729344.000000,1000000.000000,-642799999.999963,
82.000000,569635.313416,9774138.576732,6838.517558,-5546.323508,100000000000000004764729344.000000,1000000.000000,-642799999.999962,
83.000000,576471.796711,9768557.493882,6834.439848,-5615.853940,100000000000000004764729344.000000,1000000.000000,-642799999.999961,
84.000000,583304.174704,9762906.845191,6830.306917,-5685.455355,100000000000000004764729344.000000,1000000.000000,-642799999.999959,
85.000000,590132.392064,9757186.559182,6826.118544,-5755.128742,100000000000000004764729344.000000,1000000.000000,-642799999.999958,
86.000000,596956.393236,9751396.563384,6821.874502,-5824.875098,100000000000000004764729344.000000,1000000.000000,-642799999.999957,
87.000000,603776.122434,9745536.784328,6817.574560,-5894.695424,100000000000000004764729344.000000,1000000.000000,-642799999.999956,
88.000000,610591.523645,9739607.147543,6813.218486,-5964.590726,100000000000000004764729344.000000,1000000.000000,-642799999.999954,
89.000000,617402.540616,9733607.577547,6808.806042,-6034.562015,100000000000000004764729344.000000,1000000.000000,-642799999.999953,
90.000000,624209.116858,9727537.997845,6804.336987,-6104.610309,100000000000000004764729344.000000,1000000.000000,-642799999.999952,
91.000000,631011.195638,9721398.330920,6799.811077,-6174.736632,100000000000000004764729344.000000,1000000.000000,-642799999.999951,
92.000000,637808.719978,9715188.498230,6795.228064,-6244.942011,100000000000000004764729344.000000,1000000.000000,-642799999.999949,
93.000000,644601.632648,9708908.420201,6790.587696,-6315.227481,100000000000000004764729344.000000,1000000.000000,-642799999.999948,
94.000000,651389.876165,9702558.016223,6785.889716,-6385.594084,100000000000000004764729344.000000,1000000.000000,-642799999.999947,
95.000000,658173.392789,9696137.204641,6781.133866,-6456.042865,100000000000000004764729344.000000,1000000.000000,-642799999.999945,
96.000000,664952.124518,9689645.902749,6776.319881,-6526.574878,100000000000000004764729344.000000,1000000.000000,-642799999.999944,
97.000000,671726.013084,9683084.026787,6771.447494,-6597.191182,100000000000000004764729344.000000,1000000.000000,-642799999.999942,
98.000000,678494.999949,9676451.491933,6766.516434,-6667.892842,100000000000000004764729344.000000,1000000.000000,-642799999.999941,
99.000000,685259.026303,9669748.212295,6761.526426,-6738.680929,100000000000000004764729344.000000,1000000.000000,-642799999.999940,
100.000000,692018.033058,9662974.100907,6756.477189,-6809.556523,100000000000000004764729344.000000,1000000.000000,-642799999.999938,
101.000000,698771.960843,9656129.069719,6751.368440,-6880.520708,100000000000000004764729344.000000,1000000.000000,-642799999.999936,
102.000000,705520.750004,9649213.029597,6746.199891,-6951.574575,100000000000000004764729344.000000,1000000.000000,-642799999.999935,
103.000000,712264.340595,9642225.890309,6740.971251,-7022.719225,100000000000000004764729344.000000,1000000.000000,-642799999.999933,
104.000000,719002.672377,9635167.560519,6735.682223,-7093.955761,100000000000000004764729344.000000,1000000.000000,-642799999.999931,
105.000000,725735.684811,9628037.947787,6730.332506,-7165.285297,100000000000000004764729344.000000,1000000.000000,-642799999.999930,
106.000000,732463.317058,9620836.958553,6724.921796,-7236.708952,100000000000000004764729344.000000,1000000.000000,-642799999.999928,
107.000000,739185.507969,9613564.498134,6719.449783,-7308.227854,100000000000000004764729344.000000,1000000.000000,-642799999.999926,
108.000000,745902.196085,9606220.470718,6713.916154,-7379.843137,100000000000000004764729344.000000,1000000.000000,-642799999.999924,
109.000000,752613.319632,9598804.779353,6708.320591,-7451.555942,100000000000000004764729344.000000,1000000.000000,-642799999.999922,
110.000000,759318.816514,9591317.325943,6702.662770,-7523.367420,100000000000000004764729344.000000,1000000.000000,-642799999.999920,
111.000000,766018.624310,9583758.011237,6696.942365,-7595.278727,100000000000000004764729344.000000,1000000.000000,-642799999.999919,
112.000000,772712.680271,9576126.734824,6691.159043,-7667.291030,100000000000000004764729344.000000,1000000.000000,-642799999.999917,
113.000000,779400.921312,9568423.395122,6685.312468,-7739.405500,100000000000000004764729344.000000,1000000.000000,-642799999.999915,
114.000000,786083.284009,9560647.889375,6679.402299,-7811.623319,100000000000000004764729344.000000,1000000.000000,-642799999.999913,
115.000000,792759.704596,9552800.113639,6673.428188,-7883.945676,100000000000000004764729344.000000,1000000.000000,-642799999.999911,
116.000000,799430.118955,9544879.962777,6667.389786,-7956.373770,100000000000000004764729344.000000,1000000.000000,-642799999.999909,
117.000000,806094.462618,9536887.330452,6661.286735,-8028.908806,100000000000000004764729344.000000,1000000.000000,-642799999.999907,
118.000000,812752.670756,9528822.109113,6655.118676,-8101.551999,100000000000000004764729344.000000,1000000.000000,-642799999.999904,
119.000000,819404.678178,9520684.189993,6648.885241,-8174.304573,100000000000000004764729344.000000,1000000.000000,-642799999.999902,
120.000000,826050.419322,9512473.463095,6642.586059,-8247.167760,100000000000000004764729344.000000,1000000.000000,-642799999.999900,
121.000000,832689.828255,9504189.817187,6636.220754,-8320.142802,100000000000000004764729344.000000,1000000.000000,-642799999.999898,
122.000000,839322.838663,9495833.139790,6629.788945,-8393.230948,100000000000000004764729344.000000,1000000.000000,-642799999.999895,
123.000000,845949.383848,9487403.317171,6623.290244,-8466.433458,100000000000000004764729344.000000,1000000.000000,-642799999.999893,
124.000000,852569.396723,9478900.234329,6616.724259,-8539.751602,100000000000000004764729344.000000,1000000.000000,-642799999.999890,
125.000000,859182.809805,9470323.774995,6610.090592,-8613.186659,100000000000000004764729344.000000,1000000.000000,-642799999.999888,
126.000000,865789.555211,9461673.821612,6603.388839,-8686.739916,100000000000000004764729344.000000,1000000.000000,-642799999.999885,
127.000000,872389.564652,9452950.255331,6596.618592,-8760.412671,100000000000000004764729344.000000,1000000.000000,-642799999.999883,
128.000000,878982.769426,9444152.956001,6589.779436,-8834.206233,100000000000000004764729344.000000,1000000.000000,-642799999.999880,
129.000000,885569.100414,9435281.802156,6582.870950,-8908.121920,100000000000000004764729344.000000,1000000.000000,-642799999.999878,
130.000000,892148.488075,9426336.671009,6575.892709,-8982.161061,100000000000000004764729344.000000,1000000.000000,-642799999.999875,
131.000000,898720.862437,9417317.438437,6568.844280,-9056.324993,100000000000000004764729344.000000,1000000.000000,-642799999.999872,
132.000000,905286.153093,9408223.978975,6561.725225,-9130.615068,100000000000000004764729344.000000,1000000.000000,-642799999.999869,
133.000000,911844.289198,9399056.165801,6554.535101,-9205.032644,100000000000000004764729344.000000,1000000.000000,-642799999.999866,
134.000000,918395.199455,9389813.870729,6547.273455,-9279.579093,100000000000000004764729344.000000,1000000.000000,-642799999.999863,
135.000000,924938.812116,9380496.964196,6539.939833,-9354.255798,100000000000000004764729344.000000,1000000.000000,-642799999.999860,
136.000000,931475.054975,9371105.315251,6532.533772,-9429.064151,100000000000000004764729344.000000,1000000.000000,-642799999.999857,
137.000000,938003.855357,9361638.791544,6525.054801,-9504.005557,100000000000000004764729344.000000,1000000.000000,-642799999.999854,
138.000000,944525.140117,9352097.259314,6517.502446,-9579.081433,100000000000000004764729344.000000,1000000.000000,-642799999.999851,
139.000000,951038.835628,9342480.583379,6509.876225,-9654.293207,100000000000000004764729344.000000,1000000.000000,-642799999.999847,
140.000000,957544.867781,9332788.627122,6502.175647,-9729.642318,100000000000000004764729344.000000,1000000.000000,-642799999.999844,
141.000000,964043.161972,9323021.252480,6494.400219,-9805.130219,100000000000000004764729344.000000,1000000.000000,-642799999.999841,
142.000000,970533.643100,9313178.319933,6486.549436,-9880.758374,100000000000000004764729344.000000,1000000.000000,-642799999.999837,
143.000000,977016.235557,9303259.688488,6478.622790,-9956.528260,100000000000000004764729344.000000,1000000.000000,-642799999.999834,
144.000000,983490.863221,9293265.215672,6470.619764,-10032.441366,100000000000000004764729344.000000,1000000.000000,-642799999.999830,
145.000000,989957.449451,9283194.757515,6462.539835,-10108.499195,100000000000000004764729344.000000,1000000.000000,-642799999.999827,
146.000000,996415.917080,9273048.168536,6454.382472,-10184.703262,100000000000000004764729344.000000,1000000.000000,-642799999.999823,
147.000000,1002866.188404,9262825.301735,6446.147136,-10261.055096,100000000000000004764729344.000000,1000000.000000,-642799999.999819,
148.000000,1009308.185179,9252526.008575,6437.833281,-10337.556238,100000000000000004764729344.000000,1000000.000000,-642799999.999815,
149.000000,1015741.828610,9242150.138972,6429.440356,-10414.208244,100000000000000004764729344.000000,1000000.000000,-642799999.999811,
150.000000,1022167.039346,9231697.541277,6420.967797,-10491.012683,100000000000000004764729344.000000,1000000.000000,-642799999.999807,
151.000000,1028583.737470,9221168.062267,6412.415038,-10567.971139,100000000000000004764729344.000000,1000000.000000,-642799999.999803,
152.000000,1034991.842495,9210561.547128,6403.781501,-10645.085210,100000000000000004764729344.000000,1000000.000000,-642799999.999799,
153.000000,1041391.273351,9199877.839438,6395.066601,-10722.356508,100000000000000004764729344.000000,1000000.000000,-642799999.999794,
154.000000,1047781.948379,9189116.781161,6386.269746,-10799.786660,100000000000000004764729344.000000,1000000.000000,-642799999.999790,
155.000000,1054163.785324,9178278.212621,6377.390335,-10877.377307,100000000000000004764729344.000000,1000000.000000,-642799999.999785,
156.000000,1060536.701327,9167361.972496,6368.427758,-10955.130107,100000000000000004764729344.000000,1000000.000000,-642799999.999781,
