time,xpos,ypos,xvel,yvel,object_mass,time_limit,total_energy,
480.000000,-5844281.363858,13236650.780302,-24417.882404,12526.944561,100000000000000004764729344.000000,1000000.000000,-84600370.332732,
490.000000,-6087817.088548,13360479.039899,-24289.325657,12240.353434,100000000000000004764729344.000000,1000000.000000,-84600370.373004,
500.000000,-6330069.346151,13481489.944279,-24161.209033,11963.392335,100000000000000004764729344.000000,1000000.000000,-84600370.409435,
510.000000,-6571043.111591,13599777.409841,-24033.644578,11695.589540,100000000000000004764729344.000000,1000000.000000,-84600370.442432,
520.000000,-6810744.402765,13715430.783568,-23906.729162,11436.502525,100000000000000004764729344.000000,1000000.000000,-84600370.472352,
530.000000,-7049180.138033,13828535.124384,-23780.546290,11185.715866,100000000000000004764729344.000000,1000000.000000,-84600370.499514,
540.000000,-7286358.010650,13939171.464338,-23655.167682,10942.839302,100000000000000004764729344.000000,1000000.000000,-84600370.524202,
550.000000,-7522286.378059,14047417.051186,-23530.654673,10707.505950,100000000000000004764729344.000000,1000000.000000,-84600370.546667,
560.000000,-7756974.164247,14153345.573815,-23407.059429,10479.370656,100000000000000004764729344.000000,1000000.000000,-84600370.567133,
570.000000,-7990430.773584,14257027.371867,-23284.426028,10258.108481,100000000000000004764729344.000000,1000000.000000,-84600370.585798,
580.000000,-8222666.014761,14358529.630766,-23162.791405,10043.413297,100000000000000004764729344.000000,1000000.000000,-84600370.602841,
590.000000,-8453690.033658,14457916.563302,-23042.186192,9834.996498,100000000000000004764729344.000000,1000000.000000,-84600370.618419,
600.000000,-8683513.254053,14555249.578793,-22922.635454,9632.585805,100000000000000004764729344.000000,1000000.000000,-84600370.632674,
610.000000,-8912146.325283,14650587.440794,-22804.159340,9435.924168,100000000000000004764729344.000000,1000000.000000,-84600370.645733,
620.000000,-9139600.076043,14743986.414215,-22686.773662,9244.768745,100000000000000004764729344.000000,1000000.000000,-84600370.657708,
630.000000,-9365885.473603,14835500.402658,-22570.490404,9058.889966,100000000000000004764729344.000000,1000000.000000,-84600370.668701,
640.000000,-9591013.587840,14925181.076719,-22455.318173,8878.070661,100000000000000004764729344.000000,1000000.000000,-84600370.678803,
650.000000,-9814995.559523,15013077.993911,-22341.262604,8702.105253,100000000000000004764729344.000000,1000000.000000,-84600370.688096,
660.000000,-10037842.572378,15099238.710854,-22228.326709,8530.799021,100000000000000004764729344.000000,1000000.000000,-84600370.696652,
670.000000,-10259565.828503,15183708.888292,-22116.511199,8363.967402,100000000000000004764729344.000000,1000000.000000,-84600370.704539,
680.000000,-10480176.526754,15266532.389457,-22005.814760,8201.435352,100000000000000004764729344.000000,1000000.000000,-84600370.711815,
690.000000,-10699685.843779,15347751.372276,-21896.234303,8043.036759,100000000000000004764729344.000000,1000000.000000,-84600370.718533,
700.000000,-10918104.917400,15427406.375858,-21787.765187,7888.613884,100000000000000004764729344.000000,1000000.000000,-84600370.724743,
710.000000,-11135444.832083,15505536.401666,-21680.401413,7738.016853,100000000000000004764729344.000000,1000000.000000,-84600370.730489,
720.000000,-11351716.606269,15582178.989761,-21574.135801,7591.103184,100000000000000004764729344.000000,1000000.000000,-84600370.735809,
